,0
night_time,0.25248024
hour_7,0.13131575
hour_6,0.07731747
site_name_Totem 73 boulevard de Sébastopol,0.07353364
site_name_Face au 40 quai D'Issy,0.047271732
site_name_Totem 64 Rue de Rivoli,0.046239056
counter_name_28 boulevard Diderot E-O,0.03461493
hour_20,0.022155331
site_name_20 Avenue de Clichy,0.022152841
hour_5,0.02156724
counter_name_67 boulevard Voltaire SE-NO,0.020787667
hour_21,0.010912317
weekday,0.007426168
hour_19,0.0064074397
hour_16,0.0062231435
site_name_152 boulevard du Montparnasse,0.0055447277
counter_name_90 Rue De Sèvres SO-NE,0.0055022878
holidays2,0.0054829568
counter_name_Pont des Invalides S-N,0.005377649
site_name_Face au 25 quai de l'Oise,0.005257905
month_2,0.005211203
site_name_Face au 48 quai de la marne,0.0047565573
counter_name_36 quai de Grenelle NE-SO,0.004559932
hour_22,0.0045370767
hour_4,0.004420243
hour_17,0.0042654527
counter_name_Totem Cours la Reine E-O,0.004221812
counter_name_Pont de la Concorde S-N,0.0041607153
site_id,0.0039938996
suntime,0.0036913191
hour_15,0.0035336218
hour_2,0.0035335668
counter_name_27 quai de la Tournelle SE-NO,0.0034156193
hour_1,0.0032124054
site_name_39 quai François Mauriac,0.0031993652
counter_name_Pont des Invalides N-S,0.0031139755
latitude,0.002996885
Unnamed: 0,0.0029626784
counter_name_Face au 4 avenue de la porte de Bagnolet O-E,0.002517488
site_name_Face 104 rue d'Aubervilliers,0.0024879682
Temperature (C),0.0024727427
site_name_Face au 4 avenue de la porte de Bagnolet,0.00246058
counter_name_Face au 8 avenue de la porte de Charenton NO-SE,0.0024560452
counter_name_Totem 85 quai d'Austerlitz SE-NO,0.0023604818
year_2020,0.0022513901
site_name_36 quai de Grenelle,0.0021628644
month_3,0.0021505738
hour_18,0.0020576213
counter_name_Totem 64 Rue de Rivoli E-O,0.002037225
counter_name_Face au 70 quai de Bercy N-S,0.0019944676
weekday_6,0.001992593
counter_name_6 rue Julia Bartet NE-SO,0.00198032
site_name_18 quai de l'Hôtel de Ville,0.0019726348
hour_8,0.0019226887
hour_23,0.0018592344
longitude,0.0018454622
counter_name_Face au 70 quai de Bercy S-N,0.0018088167
counter_name_Voie Georges Pompidou SO-NE,0.0017498505
month_5,0.0017265829
counter_name_38 rue Turbigo SO-NE,0.0016541153
counter_name_254 rue de Vaugirard NE-SO,0.001547161
counter_name_6 rue Julia Bartet SO-NE,0.0015298466
Precipitation,0.0015239253
counter_name_18 quai de l'Hôtel de Ville NO-SE,0.0015128179
counter_name_Face 104 rue d'Aubervilliers S-N,0.0014994716
site_name_90 Rue De Sèvres,0.0014591864
hour_3,0.001457089
counter_name_90 Rue De Sèvres NE-SO,0.0014403386
counter_name_20 Avenue de Clichy NO-SE,0.0012502094
counter_name_28 boulevard Diderot O-E,0.0011459881
hour_9,0.0011377418
counter_name_Quai d'Orsay E-O,0.0011266536
counter_name_Totem 85 quai d'Austerlitz NO-SE,0.0011247405
site_name_254 rue de Vaugirard,0.001091905
counter_name_27 quai de la Tournelle NO-SE,0.0010912934
weekday_5,0.0010842942
day_29,0.0010809579
counter_name_Face au 4 avenue de la porte de Bagnolet E-O,0.0010795397
weekday_0,0.0010550322
hour_0,0.0010485632
month_1,0.0010386277
counter_name_Voie Georges Pompidou NE-SO,0.0010355877
site_name_Quai d'Orsay,0.0010354749
Humidity,0.0010339747
month_4,0.0010066215
counter_name_Quai d'Orsay O-E,0.0009938796
site_name_28 boulevard Diderot,0.00096422096
day_31,0.0009183695
month_8,0.0009008615
counter_name_254 rue de Vaugirard SO-NE,0.00086171733
counter_name_38 rue Turbigo NE-SO,0.00085696654
site_name_Voie Georges Pompidou,0.0008561366
counter_name_Totem 64 Rue de Rivoli O-E,0.00084030826
hour_14,0.00083657785
month_6,0.0008234147
hour_10,0.0007939169
counter_name_Totem 73 boulevard de Sébastopol N-S,0.00075902144
counter_name_Face au 40 quai D'Issy NE-SO,0.00074542395
day_20,0.0007408808
day_14,0.0007339101
counter_name_39 quai François Mauriac SE-NO,0.0007036565
month_11,0.00069287285
counter_name_Face au 48 quai de la marne SO-NE,0.00067569624
counter_name_39 quai François Mauriac NO-SE,0.0006708972
counter_name_Totem Cours la Reine O-E,0.00066777546
site_name_Pont Charles De Gaulle,0.000666327
day_6,0.00064793444
day_9,0.0006419691
day_22,0.0006409841
weekday_4,0.00062943384
month_10,0.00061037415
counter_name_Face au 25 quai de l'Oise NE-SO,0.0005890718
month_7,0.00057586655
counter_name_152 boulevard du Montparnasse E-O,0.00057525805
day_18,0.000570137
day_27,0.0005544896
hour_13,0.0005424767
site_name_Totem Cours la Reine,0.00052138837
month_12,0.00052101153
counter_name_Face 104 rue d'Aubervilliers N-S,0.00048716945
counter_name_20 Avenue de Clichy SE-NO,0.00046187997
counter_name_Pont Charles De Gaulle SO-NE,0.00046131483
counter_name_Face au 48 quai de la marne NE-SO,0.00044888802
sunshine_time,0.00044851252
new_cases,0.000446821
day_24,0.00043941144
site_name_38 rue Turbigo,0.00043191985
day_3,0.00042769595
month_9,0.00042574608
counter_name_Pont de Bercy SO-NE,0.00041505278
day_15,0.00040870468
counter_name_Face au 25 quai de l'Oise SO-NE,0.00040712097
day_11,0.00039947455
day_8,0.00039810225
day_12,0.00038247844
counter_name_Pont Charles De Gaulle NE-SO,0.00037685575
counter_name_Face au 8 avenue de la porte de Charenton SE-NO,0.00036786834
hour_12,0.0003669761
day_30,0.00036498718
counter_name_Pont de Bercy NE-SO,0.00036486465
day_16,0.00036173186
pressure1,0.00035287096
day_10,0.00034567685
counter_name_Totem 73 boulevard de Sébastopol S-N,0.00034245112
hour_11,0.000339513
site_name_27 quai de la Tournelle,0.0003349447
wind_dir_NE,0.0003272768
counter_name_36 quai de Grenelle SO-NE,0.0003262297
counter_name_152 boulevard du Montparnasse O-E,0.00031936239
day_4,0.00031793982
counter_name_18 quai de l'Hôtel de Ville SE-NO,0.0003087703
site_name_Pont de Bercy,0.00030592902
site_name_6 rue Julia Bartet,0.0003056588
day_1,0.00030146542
wind_dir_ONO,0.00030002528
wind_dir_NNO,0.00029903298
weekday_2,0.00029493633
wind_dir_ESE,0.0002904939
day_19,0.00028793776
site_name_Totem 85 quai d'Austerlitz,0.00028700122
day_5,0.000286845
day_26,0.00028407527
wind_speed,0.0002802918
day_2,0.00027750395
Visibility,0.00027701515
day_21,0.00027404612
day_13,0.00027031513
wind_dir_ENE,0.00026741857
day_28,0.0002660533
weekday_3,0.00026302383
wind_dir_S,0.0002590244
day_23,0.0002478668
wind_dir_SE,0.0002446512
wind_dir_O,0.00024251452
wind_dir_SSE,0.00024037887
site_name_Face au 70 quai de Bercy,0.00023478051
day_7,0.00023468399
wind_dir_N,0.00023297154
weekday_1,0.0002225845
wind_dir_NNE,0.00022217295
wind_dir_SO,0.00021370532
wind_dir_E,0.00021190109
day_25,0.00020377475
wind_dir_OSO,0.0001961733
site_name_Face au 8 avenue de la porte de Charenton,0.00019500192
day_17,0.00019395213
wind_dir_SSO,0.00019283476
wind_dir_NO,0.00017765322
counter_name_Face au 40 quai D'Issy SO-NE,0.00016687783
year_2021,0.0
site_name_Pont des Invalides S-N,0.0
site_name_Pont des Invalides N-S,0.0
site_name_Pont de la Concorde S-N,0.0
site_name_67 boulevard Voltaire SE-NO,0.0
weekend_dummy,0.0
